country,countryCode,platform,adId,started,brand,advertiser,type,language,angle,headline,copy,score,risk,level,sourceUrl,landing,query,ad_url,screenshot
Angola,AO,Meta,2207302946689485,2026年1月22日,CredoKa-Angola-1226,CredoKa-Angola-1226,Image app ad,Portuguese,快速到账,Empréstimo sem preocupações até 200.000 Kz.,"Empréstimo sem preocupações até 200.000 Kz.
Processo simples, rápido e dinheiro na mão em pouco tempo.Solicite agora!👇👇👇
PLAY.GOOGLE.COM
CredoKa",76,4,高风险核验,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=2207302946689485,empréstimo online,https://www.facebook.com/ads/library/?id=2207302946689485,ad_screenshots/2207302946689485.png
Angola,AO,Meta,2264543317697216,2026年6月16日,Agilkz IOS,Agilkz IOS,Image app ad,Portuguese,高额度,"Seu emprestimo foi solicitado no valorde 100.000,00 Kz👇👇👇","Seu emprestimo foi solicitado no valorde 100.000,00 Kz👇👇👇
ITUNES.APPLE.COM
AgilKz",62,4,高风险核验,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=2264543317697216,empréstimo online,https://www.facebook.com/ads/library/?id=2264543317697216,ad_screenshots/2264543317697216.png
Angola,AO,Meta,2011375373106105,2026年6月16日,FocoJá-Angola,FocoJá-Angola,Image app ad,Portuguese,快速到账,"FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos","FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos de reembolso flexíveis e apoio ao cliente disponível 24 horas por dia para resolver as suas questões
PLAY.GOOGLE.COM
FocoJá : Empréstimo Rápido",80,2,优先参考,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=2011375373106105,empréstimo online,https://www.facebook.com/ads/library/?id=2011375373106105,ad_screenshots/2011375373106105.png
Angola,AO,Meta,3977734932530892,2026年6月16日,FocoJá-Angola,FocoJá-Angola,Image app ad,Portuguese,快速到账,"FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos","FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos de reembolso flexíveis e apoio ao cliente disponível 24 horas por dia para resolver as suas questões
PLAY.GOOGLE.COM
FocoJá : Empréstimo Rápido",80,2,优先参考,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=3977734932530892,empréstimo online,https://www.facebook.com/ads/library/?id=3977734932530892,ad_screenshots/3977734932530892.png
Angola,AO,Meta,1030487252833165,2026年6月16日,FocoJá-Angola,FocoJá-Angola,Image app ad,Portuguese,快速到账,"FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos","FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos de reembolso flexíveis e apoio ao cliente disponível 24 horas por dia para resolver as suas questões
PLAY.GOOGLE.COM
FocoJá : Empréstimo Rápido",80,2,优先参考,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=1030487252833165,empréstimo online,https://www.facebook.com/ads/library/?id=1030487252833165,ad_screenshots/1030487252833165.png
Angola,AO,Meta,841131242096366,2026年6月16日,FocoJá-Angola,FocoJá-Angola,Image app ad,Portuguese,快速到账,"FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos","FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos de reembolso flexíveis e apoio ao cliente disponível 24 horas por dia para resolver as suas questões
PLAY.GOOGLE.COM
FocoJá : Empréstimo Rápido",80,2,优先参考,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=841131242096366,empréstimo online,https://www.facebook.com/ads/library/?id=841131242096366,ad_screenshots/841131242096366.png
Angola,AO,Meta,27151235007863142,2026年6月16日,FocoJá-Angola,FocoJá-Angola,Image app ad,Portuguese,快速到账,"FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos","FocoJá, uma aplicação de empréstimos pessoais digitais. Empréstimos até 100 000 Kz, prazos de reembolso flexíveis e apoio ao cliente disponível 24 horas por dia para resolver as suas questões
PLAY.GOOGLE.COM
FocoJá : Empréstimo Rápido",80,2,优先参考,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=empr%C3%A9stimo%20online&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=27151235007863142,empréstimo online,https://www.facebook.com/ads/library/?id=27151235007863142,ad_screenshots/27151235007863142.png
Angola,AO,Meta,1009459904791860,2026年6月20日,Marco Singleton,Marco Singleton,Image app ad,Portuguese,快速到账,Empréstimo rápido. Sem fiador. Aprovação ainda hoje. Clique e receba.,"Empréstimo rápido. Sem fiador. Aprovação ainda hoje. Clique e receba.
Precisa de dinheiro agora? Solicite agora, receça hoje mesmo. Sem sair de casa.",76,4,高风险核验,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=cr%C3%A9dito%20r%C3%A1pido&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=1009459904791860,crédito rápido,https://www.facebook.com/ads/library/?id=1009459904791860,ad_screenshots/1009459904791860.png
Angola,AO,Meta,946859728054655,2026年4月29日,Elite Growth Collective,Elite Growth Collective,Image,Portuguese,App教程,Empréstimos pessoais para quem tem crédito ruim podem ser aprovados sem exigir pagamento a,"Empréstimos pessoais para quem tem crédito ruim podem ser aprovados sem exigir pagamento antecipado segundo algumas modalidades.
THESAVVYEXPLORERS.COM
Guia sobre empréstimos pessoais com crédito ruim
Muitas pessoas enfrentam dificuldades financeiras e se perguntam como conseguir um empréstimo pessoal com crédito ruim. Este guia informativo explora opções disponíveis, ajudando a entender como obter um empréstimo sem a necessidade de pagamento inicial.",77,2,可测试,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=cr%C3%A9dito%20r%C3%A1pido&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=946859728054655,crédito rápido,https://www.facebook.com/ads/library/?id=946859728054655,ad_screenshots/946859728054655.png
Angola,AO,Meta,1966357567376909,2026年6月26日,Kathy Barker,Kathy Barker,Image app ad,Portuguese,高额度,Até Kz 300.000 com condições claras,"Até Kz 300.000 com condições claras
300.000 Kz",66,2,可测试,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=AO&media_type=all&q=cr%C3%A9dito%20r%C3%A1pido&search_type=keyword_unordered,https://www.facebook.com/ads/library/?id=1966357567376909,crédito rápido,https://www.facebook.com/ads/library/?id=1966357567376909,ad_screenshots/1966357567376909.png
